Cache Result:

 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 1; Tag: 000111111111100101010010; Data: { 1ff952d0, 1ff952d1, 1ff952d2, 1ff952d3 } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 1; Tag: 001000000000001001100100; Data: { 200264d4, 200264d5, 200264d6, 200264d7 } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 1; Tag: 001000000000001001100100; Data: { 200264d8, 200264d9, 200264da, 200264db } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 1; Tag: 001000000000001001100100; Data: { 200264dc, 200264dd, 200264de, 200264df } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 1; Tag: 001000000000001001100101; Data: { 20026560, 20026561, 20026562, 20026563 } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
 | Valid: 0; Tag: ; Data: { , , ,  } | 
